wort;übersetzung;wortart;niveau;thema
ability;Fähigkeit;n.;A2;
able;fähig / imstande;adj.;A2;
abroad;im Ausland;adv.;A2;
accept;annehmen / akzeptieren;v.;A2;
accident;Unfall;n.;A2;
according to;laut / gemäß;prep.;A2;
achieve;erreichen / erzielen;v.;A2;
act;handeln / Akt;v.;A2;
active;aktiv;adj.;A2;
actually;eigentlich / tatsächlich;adv.;A2;
adult;Erwachsener;adj.;A2;
advantage;Vorteil;n.;A2;
adventure;Abenteuer;n.;A2;
advertise;werben;v.;A2;
advertisement;Werbeanzeige;n.;A2;
advertising;Werbung;n.;A2;
affect;beeinflussen;v.;A2;
after;nach;conj., adv.;A2;
against;gegen;prep.;A2;
ah;ah;exclam.;A2;
airline;Fluggesellschaft;n.;A2;
alive;lebendig / am Leben;adj.;A2;
all;alle / alles;adv.;A2;
all right adj./adv.,;in Ordnung / okay;exclam.;A2;
allow;erlauben;v.;A2;
almost;fast;adv.;A2;
along;entlang;prep., adv.;A2;
already;schon / bereits;adv.;A2;
alternative;Alternative;n.;A2;
although;obwohl;conj.;A2;
among;unter / zwischen;prep.;A2;
amount;Menge / Betrag;n.;A2;
ancient;antik / uralt;adj.;A2;
ankle;Knöchel;n.;A2;
any;irgendein;adv.;A2;
anybody;irgendjemand;pron.;A2;
any more;nicht mehr;adv.;A2;
anyway;sowieso / jedenfalls;adv.;A2;
anywhere;irgendwo;adv., pron.;A2;
app;App;n.;A2;
appear;erscheinen;v.;A2;
appearance;Aussehen / Erscheinung;n.;A2;
apply;sich bewerben / anwenden;v.;A2;
architect;Architekt:in;n.;A2;
architecture;Architektur;n.;A2;
argue;streiten / argumentieren;v.;A2;
argument;Streit / Argument;n.;A2;
army;Armee;n.;A2;
arrange;arrangieren / vereinbaren;v.;A2;
arrangement;Vereinbarung / Anordnung;n.;A2;
as;als / wie;adv., conj.;A2;
asleep;schlafend;adj.;A2;
assistant;Assistent:in;n., adj.;A2;
athlete;Athlet:in / Sportler:in;n.;A2;
attack;angreifen / Angriff;n., v.;A2;
attend;teilnehmen / besuchen;v.;A2;
attention;Aufmerksamkeit;n., exclam.;A2;
attractive;attraktiv;adj.;A2;
audience;Publikum;n.;A2;
author;Autor:in;n.;A2;
available;verfügbar;adj.;A2;
average;Durchschnitt / durchschnittlich;adj., n.;A2;
avoid;vermeiden;v.;A2;
award;Preis / Auszeichnung;n.;A2;
awful;schrecklich;adj.;A2;
back;Rücken / zurück;adj.;A2;
background;Hintergrund;n.;A2;
badly;schlecht;adv.;A2;
bar;Bar / Stange;n.;A2;
baseball;Baseball;n.;A2;
based;basiert (auf);adj.;A2;
basketball;Basketball;n.;A2;
bean;Bohne;n.;A2;
bear (animal);Bär;n.;A2;
beat;schlagen / besiegen;v.;A2;
beef;Rindfleisch;n.;A2;
before;bevor / vor;conj., adv.;A2;
behave;sich benehmen;v.;A2;
behaviour;Verhalten;n.;A2;
belong;gehören;v.;A2;
belt;Gürtel;n.;A2;
benefit;Vorteil / Nutzen;n.;A2;
best;beste:r;adv., n.;A2;
better;besser;adv.;A2;
between;zwischen;adv.;A2;
billion;Milliarde;number;A2;
bin;Mülleimer;n.;A2;
biology;Biologie;n.;A2;
birth;Geburt;n.;A2;
biscuit;Keks;n.;A2;
bit;ein bisschen / Stück;n.;A2;
blank;leer / Lücke;adj., n.;A2;
blood;Blut;n.;A2;
blow;blasen / Schlag;v.;A2;
board;Brett / Vorstand;n.;A2;
boil;kochen / sieden;v.;A2;
bone;Knochen;n.;A2;
book;Buch / buchen;v.;A2;
borrow;leihen (von);v.;A2;
boss;Chef:in;n.;A2;
bottom;Boden / Hinterteil;n., adj.;A2;
bowl;Schüssel;n.;A2;
brain;Gehirn;n.;A2;
bridge;Brücke;n.;A2;
bright;hell / klug;adj.;A2;
brilliant;brillant / hervorragend;adj.;A2;
broken;kaputt / gebrochen;adj.;A2;
brush;Bürste / bürsten;v., n.;A2;
burn;brennen / verbrennen;v.;A2;
businessman;Geschäftsmann;n.;A2;
button;Knopf;n.;A2;
camp;Lager / zelten;n., v.;A2;
camping;Camping / Zelten;n.;A2;
can;können / Dose;n.;A2;
care;sich kümmern / Pflege;n., v.;A2;
