wort;übersetzung;wortart;niveau;thema
abolish;abschaffen;v.;C1;
abortion;Abtreibung;n.;C1;
absence;Abwesenheit / Fehlen;n.;C1;
absent;abwesend;adj.;C1;
absurd;absurd;adj.;C1;
abundance;Überfluss;n.;C1;
abuse;Missbrauch / missbrauchen;n., v.;C1;
academy;Akademie;n.;C1;
accelerate;beschleunigen;v.;C1;
acceptance;Annahme / Akzeptanz;n.;C1;
accessible;zugänglich;adj.;C1;
accomplishment;Leistung / Errungenschaft;n.;C1;
accordance;Übereinstimmung;n.;C1;
accordingly;entsprechend / dementsprechend;adv.;C1;
accountability;Rechenschaftspflicht;n.;C1;
accountable;rechenschaftspflichtig / verantwortlich;adj.;C1;
accumulate;ansammeln;v.;C1;
accumulation;Ansammlung;n.;C1;
accusation;Anschuldigung;n.;C1;
accused;angeklagt / beschuldigt;n.;C1;
acid;Säure;adj.;C1;
acquisition;Erwerb / Übernahme;n.;C1;
acre;Morgen (Maß);n.;C1;
activation;Aktivierung;n.;C1;
activist;Aktivist:in;n.;C1;
acute;akut;adj.;C1;
adaptation;Anpassung / Adaption;n.;C1;
adhere;haften / sich halten an;v.;C1;
adjacent;angrenzend / benachbart;adj.;C1;
adjustment;Anpassung / Justierung;n.;C1;
administer;verwalten / verabreichen;v.;C1;
administrative;administrativ;adj.;C1;
administrator;Administrator:in;n.;C1;
admission;Eintritt / Eingeständnis;n.;C1;
adolescent;Jugendliche:r;n.;C1;
adoption;Adoption / Annahme;n.;C1;
adverse;ungünstig / nachteilig;adj.;C1;
advocate;Befürworter:in / befürworten;n., v.;C1;
aesthetic;ästhetisch;adj.;C1;
affection;Zuneigung;n.;C1;
aftermath;Nachwirkungen / Folgen;n.;C1;
aggression;Aggression;n.;C1;
agricultural;landwirtschaftlich;adj.;C1;
aide;Berater:in / Helfer:in;n.;C1;
albeit;wenn auch;conj.;C1;
alert;wachsam / Alarm;v., n., adj.;C1;
alien;fremd / Außerirdische:r;adj.;C1;
align;ausrichten;v.;C1;
alignment;Ausrichtung;n.;C1;
alike;gleich / ebenso;adv., adj.;C1;
allegation;Anschuldigung / Behauptung;n.;C1;
allege;behaupten;v.;C1;
allegedly;angeblich;adv.;C1;
alliance;Bündnis / Allianz;n.;C1;
allocate;zuteilen / zuweisen;v.;C1;
allocation;Zuteilung;n.;C1;
allowance;Zulage / Erlaubnis;n.;C1;
ally;Verbündete:r;n.;C1;
aluminium;Aluminium;n.;C1;
amateur;Amateur:in;adj., n.;C1;
ambassador;Botschafter:in;n.;C1;
amend;ändern / verbessern;v.;C1;
amendment;Änderung / Zusatzartikel;n.;C1;
amid;inmitten;prep.;C1;
analogy;Analogie;n.;C1;
anchor;Anker / Moderator:in;n.;C1;
angel;Engel;n.;C1;
anonymous;anonym;adj.;C1;
apparatus;Apparat / Gerät;n.;C1;
appealing;ansprechend;adj.;C1;
appetite;Appetit;n.;C1;
applaud;applaudieren / loben;v.;C1;
applicable;anwendbar;adj.;C1;
appoint;ernennen;v.;C1;
appreciation;Wertschätzung / Anerkennung;n.;C1;
arbitrary;willkürlich;adj.;C1;
architectural;architektonisch;adj.;C1;
archive;Archiv;n.;C1;
arena;Arena;n.;C1;
arguably;wohl / man könnte sagen;adv.;C1;
arm;Arm / bewaffnen;v.;C1;
array;Reihe / Anordnung;n.;C1;
articulate;artikulieren / wortgewandt;v.;C1;
ash;Asche;n.;C1;
aspiration;Bestreben / Streben;n.;C1;
aspire;anstreben;v.;C1;
assassination;Attentat;n.;C1;
assault;Angriff / Überfall;n., v.;C1;
assemble;zusammenbauen / sich versammeln;v.;C1;
assembly;Versammlung / Montage;n.;C1;
assert;behaupten / geltend machen;v.;C1;
assertion;Behauptung;n.;C1;
assurance;Versicherung / Zusicherung;n.;C1;
asylum;Asyl;n.;C1;
atrocity;Gräueltat;n.;C1;
attain;erreichen / erlangen;v.;C1;
attendance;Anwesenheit / Besuch;n.;C1;
attorney;Anwalt / Anwältin;n.;C1;
attribute;Eigenschaft / zuschreiben;v., n.;C1;
audit;Prüfung / auditieren;n.;C1;
authentic;authentisch / echt;adj.;C1;
authorize;autorisieren / ermächtigen;v.;C1;
auto;Auto;n.;C1;
autonomy;Autonomie;n.;C1;
availability;Verfügbarkeit;n.;C1;
await;erwarten / warten auf;v.;C1;
backdrop;Hintergrund / Kulisse;n.;C1;
backing;Unterstützung / Rückhalt;n.;C1;
backup;Sicherung / Backup;n.;C1;
bail;Kaution;n.;C1;
ballot;Stimmzettel / Wahl;n.;C1;
banner;Banner;n.;C1;
bare;nackt / bloß;adj.;C1;
barrel;Fass;n.;C1;
bass;Bass;n.;C1;
bat;Schläger / Fledermaus;v.;C1;
battlefield;Schlachtfeld;n.;C1;
bay;Bucht;n.;C1;
beam;Strahl / Balken;n.;C1;
beast;Bestie / Tier;n.;C1;
behalf;Namen / im Auftrag;n.;C1;
beloved;geliebt;adj.;C1;
bench;Bank (Sitz);n.;C1;
benchmark;Maßstab / Benchmark;n.;C1;
beneath;unter / unterhalb;prep.;C1;
beneficiary;Begünstigte:r;n.;C1;
betray;verraten;v.;C1;
bind;binden;v.;C1;
biography;Biografie;n.;C1;
bishop;Bischof;n.;C1;
bizarre;bizarr;adj.;C1;
blade;Klinge;n.;C1;
blast;Explosion / sprengen;n., v.;C1;
bleed;bluten;v.;C1;
blend;mischen / Mischung;v., n.;C1;
bless;segnen;v.;C1;
blessing;Segen;n.;C1;
boast;prahlen;v.;C1;
bonus;Bonus;n.;C1;
boom;Boom / dröhnen;n.;C1;
bounce;hüpfen / abprallen;v.;C1;
boundary;Grenze;n.;C1;
bow;Bogen / sich verbeugen;v., n.;C1;
breach;Verstoß / Bruch;n., v.;C1;
breakdown;Zusammenbruch / Aufschlüsselung;n.;C1;
breakthrough;Durchbruch;n.;C1;
breed;züchten / Rasse;v., n.;C1;
broadband;Breitband;n.;C1;
browser;Browser;n.;C1;
brutal;brutal;adj.;C1;
buck;Dollar / Bock;n.;C1;
buddy;Kumpel;n.;C1;
buffer;Puffer;n.;C1;
bulk;Masse / Großteil;n.;C1;
burden;Last / Bürde;n.;C1;
bureaucracy;Bürokratie;n.;C1;
burial;Beerdigung;n.;C1;
burst;platzen / Ausbruch;v.;C1;
cabinet;Kabinett / Schrank;n.;C1;
calculation;Berechnung;n.;C1;
canvas;Leinwand;n.;C1;
capability;Fähigkeit;n.;C1;
capitalism;Kapitalismus;n.;C1;
capitalist;kapitalistisch / Kapitalist:in;adj.;C1;
cargo;Fracht / Ladung;n.;C1;
carriage;Wagen / Beförderung;n.;C1;
carve;schnitzen;v.;C1;
casino;Casino;n.;C1;
casualty;Verletzte:r / Opfer;n.;C1;
catalogue;Katalog;n.;C1;
cater;versorgen / Catering;v.;C1;
cattle;Vieh / Rinder;n.;C1;
caution;Vorsicht;n.;C1;
cautious;vorsichtig;adj.;C1;
cease;aufhören / einstellen;v.;C1;
cemetery;Friedhof;n.;C1;
chamber;Kammer;n.;C1;
chaos;Chaos;n.;C1;
characterize;charakterisieren;v.;C1;
charm;Charme;n.;C1;
charter;Charta / chartern;n.;C1;
chronic;chronisch;adj.;C1;
chunk;Brocken / Stück;n.;C1;
circulate;zirkulieren / in Umlauf bringen;v.;C1;
circulation;Auflage / Kreislauf;n.;C1;
citizenship;Staatsbürgerschaft;n.;C1;
civic;städtisch / bürgerlich;adj.;C1;
civilian;Zivilist:in / zivil;n., adj.;C1;
clarity;Klarheit;n.;C1;
clash;Zusammenstoß / kollidieren;n.;C1;
classification;Klassifizierung;n.;C1;
cling;sich klammern;v.;C1;
clinical;klinisch;adj.;C1;
closure;Schließung;n.;C1;
cluster;Bündel / Gruppe;n.;C1;
coalition;Koalition;n.;C1;
coastal;Küsten- / küstennah;adj.;C1;
cocktail;Cocktail;n.;C1;
cognitive;kognitiv;adj.;C1;
coincide;zusammenfallen;v.;C1;
collaborate;zusammenarbeiten;v.;C1;
collaboration;Zusammenarbeit;n.;C1;
collective;kollektiv;adj.;C1;
collision;Kollision / Zusammenstoß;n.;C1;
colonial;kolonial;adj.;C1;
columnist;Kolumnist:in;n.;C1;
combat;Kampf / bekämpfen;n., v.;C1;
commence;beginnen;v.;C1;
commentary;Kommentar;n.;C1;
commentator;Kommentator:in;n.;C1;
commerce;Handel / Kommerz;n.;C1;
commissioner;Beauftragte:r / Kommissar:in;n.;C1;
commodity;Ware / Rohstoff;n.;C1;
communist;kommunistisch / Kommunist:in;adj.;C1;
companion;Begleiter:in / Gefährte;n.;C1;
comparable;vergleichbar;adj.;C1;
compassion;Mitgefühl;n.;C1;
compel;zwingen;v.;C1;
compelling;zwingend / fesselnd;adj.;C1;
compensate;entschädigen / kompensieren;v.;C1;
